X,y,airfoil name
"[-0.1130948905910162 0.1072189165027823 -0.0026100591985268
 0.0218211246521836 0.0085367446627233 0.0052062810444292
 -0.0020129093694291 -9.080669482709369e-05 -0.0014139308096078
 0.269085122498254 -0.0182245343158019 -0.0107240852722848
 0.0092341973437403 0.0018465571326602 -0.0028617259332483
 -0.0016187899110607 -0.002185671119772 -0.0006295943870776 0.0001396372
 -2.0]",[0.7356142333969768],GS1_0015
"[-0.1744759020273243 -0.0227922751003063 -0.0150804962319066
 0.0009643017662758 -0.008031151133051 -0.0017429400307316
 -0.0030143206590392 -0.0008593331084037 -0.0009658623829074
 0.1744759020273243 0.0227922751003063 0.0150804962319066
 -0.0009643017662758 0.008031151133051 0.0017429400307316
 0.0030143206590392 0.0008593331084037 0.0009658623829074 0.0005119711 2.0]",[0.5603878118309251],NACA0012_64_0010
"[-0.1611041842717995 -0.0281454702863691 -0.0136376322825024
 0.0012351212832923 -0.0084128895840066 -0.0017429396048811
 -0.0030143202713178 -0.0008593328437473 -0.0009658621242699
 0.1611041842717995 0.0281454702863691 0.0136376322825024
 -0.0012351212832923 0.0084128895840066 0.0017429396048811
 0.0030143202713178 0.0008593328437473 0.0009658621242699 0.0003689258 4.0]",[0.6367675218342673],NACA0012_64_0028
"[-0.0950417233797583 0.0137199737628317 0.0132582472735629
 0.0304994074803306 0.0025585757070449 0.0113761416559732
 0.0025515360352862 0.0028012024481625 -0.0001179352892047
 0.1729237981910208 -0.0852276365923197 -0.0658820698355641
 -0.0298139298448787 -0.0169374424411976 -0.0015684809572732
 -0.0070080617427073 0.0004685168107671 -0.0020406605414894
 0.0020079431219218 15.0]",[0.5369833165089029],SC2110_0031
"[-0.0829503924649613 0.0038366940217995 0.0193477325985418
 0.025970652065554 0.0112308457842753 0.0086241981713777
 0.0035602562583324 0.0028856329154917 0.00029953511493 0.1132653185300132
 -0.0696545824810647 -0.0590614454339624 -0.0192422090287036
 -0.0179938926334588 -0.0023897933999476 -0.0055153511912736
 0.0004504547617313 -0.0018148602456337 0.0007327511204263 9.0]",[0.5766544348946457],SSCA09_0010
"[-0.082372800161184 -0.0016936325609104 -0.0351828885452363
 -0.0088438442095066 -0.0144824390561445 -0.0007877325765119
 -0.0059687143976761 -0.0005511511277503 -0.0018306169145604
 0.1781198593095679 -0.0213722450636652 -0.0337002510443884
 -0.0273608601401263 -0.0224028125549279 -0.0015630249853716
 -0.0124599494423607 -0.0012479579549976 -0.0044099244796807
 0.0004656650189828 1.0]",[0.6155668760071308],VR12_0012
"[-0.0853483668803923 0.0556460841187506 -0.0126332022608219
 0.0061490321818745 -0.0167036847229085 0.0125565648079411
 -0.0071443813873494 0.0042810348447216 -0.0019935080018596
 0.2706311347761811 0.0045345072861058 -0.0019356802439809
 -0.0102718754064294 -0.0179952884489569 0.0009194882312425
 -0.0084711957874994 -0.0005067501569419 -0.0027469795955215
 1.435305897172761e-05 4.0]",[0.6437834551961096],V43015_248_0012
"[-0.1010922788880058 0.0163194083658725 -0.0170747199458332
 -0.0062920998181353 -0.0288719344404908 -0.0050899081934813
 -0.0124864104005035 -0.0029470189794772 -0.0046103820149711
 0.1615657035486156 -0.0422988393513132 0.001048252146092
 -0.0057111972025005 -0.0146030020526146 -0.0029360661735238
 -0.0047614010962629 -0.0020655047817743 -0.0010039053833322 0.0 12.0]",[0.5443799221828663],V23010_158_0008
"[-0.1454415533522035 -0.0526077803291731 -0.0395866838602658
 0.007455795894322 -0.0053163577049799 0.0044666904003443
 -0.0012583496912187 0.0011832226651833 -0.0006375238182868
 0.1763642445277728 -0.0161088845723317 -0.0153192141961392
 0.0003566276303635 0.0013174773164794 0.0028073427048567
 0.0014651234466247 0.0007505365163873 0.0004915446297913
 0.0003417965637438 3.0]",[0.7028209469809872],RC310_0025
"[-0.0712454393059373 0.1090852944252441 -0.0027036185171347
 0.0083049535465375 0.003334583002145 0.0053348864453431
 -0.0018744178140102 -0.0002613656640709 -0.0011338514110781
 0.2529188526714255 0.0129207597682404 -0.0146681217793625
 -0.0025518338558326 -0.005999686771539 -0.0030788573029084
 -0.0016091076830923 -0.0022623313025621 -0.0004030595933672 3.9121e-05
 9.0]",[0.6139220584913412],GS1_0010
"[-0.1041463930362781 0.0044123739135896 -0.0365063239364938
 0.0100331315006443 -0.0101766998884721 0.0006322646806275
 -0.0010158702473564 -0.0028076206346942 -0.000913666699733
 0.1826096494716505 -0.0621683528578955 -0.0278221880908791
 -0.0091434251265527 0.0014361109761705 0.0027907977217073
 -0.0072717770535982 -0.0007448982536993 -0.0023415792923619
 0.0009344082769587 17.0]",[0.5269060907868774],RC410_0011
"[-0.0910972856230783 0.0232869353835244 0.0359662223909173
 0.0321535435682193 0.0025815913871742 0.0124383971980653
 0.001812508597479 0.0030957492783554 -0.0002913645836964
 0.1622621002174829 -0.076928507443173 -0.0380391669512087
 -0.02337968803768 -0.0219032841362212 -0.001064491756605
 -0.007395617053963 0.0004857347897311 -0.0020780358500952
 0.0007791591130155 1.0]",[0.6521210337360558],SC2110_0034
"[-0.0974874240906561 0.0191504935267361 0.0436055206778639
 0.0278588470845987 0.0098544162772822 0.0084981833436337
 0.0035127753351327 0.00284927236905 0.000337481576334 0.1056484160034835
 -0.0609320734504007 -0.0358814942425724 -0.0227864942204351
 -0.0214134285380492 -0.0026015880929449 -0.0054670067254195
 0.0003570602878204 -0.0017338698709436 0.0012270215558254 16.0]",[0.5054783841990147],SSCA09_0023
"[-0.1335170553767315 -0.007194168141506 -0.0306299152535049
 0.0109222030823994 -0.007640272572423 0.0015150159356371
 -0.0012526980572318 -0.0026022324240451 -0.001040579833855
 0.1576475112707684 -0.0643520557853115 -0.0202114749346041
 -0.0063427693263827 0.0038117982126838 0.003977844730167
 -0.0077188858337923 -0.0005018992025453 -0.0024712716213282
 0.0013280779417011 4.0]",[0.6979174159592697],RC410_0040
"[-0.1364607318303728 0.0298392995665554 -0.0275581359386951
 -0.0121894925709541 -0.0164414550956481 0.0113302203678426
 -0.0064988672720908 0.0041321695376311 -0.0024206459971855
 0.2596325280389359 -0.0205996097650055 -0.0193085059255807
 -0.0246147612549426 -0.0180269471525724 7.577372424177127e-05
 -0.0074535294264402 -0.0009518009567497 -0.0023015664203326
 1.4554743961324793e-05 17.0]",[0.5415249548055068],V43015_248_0008
"[-0.1178018098658831 0.0209833508642153 -0.0016306141253248
 0.0016989577283871 0.0008312431367648 0.0014879619548157
 0.0004275161094796 0.0005192156817159 8.649101784124657e-05
 0.1178018098658831 -0.0209833508642153 0.0016306141253248
 -0.0016989577283871 -0.0008312431367648 -0.0014879619548157
 -0.0004275161094796 -0.0005192156817159 -8.649101784124657e-05
 0.0006952591 13.0]",[0.5093505090559061],NACA0012_0026
"[-0.1886923304677635 0.0125930027775414 -0.0124330386310626
 -0.0042682526987788 -0.0048665288377791 -0.0027139528733635
 -0.0027972714567417 -0.0011201792590004 -0.0008099805419471
 0.1886923304677635 -0.0125930027775414 0.0124330386310626
 0.0042682526987788 0.0048665288377791 0.0027139528733635
 0.0027972714567417 0.0011201792590004 0.0008099805419471 0.0016806531 2.0]",[0.6610686404053291],NACA0015_0013
"[-0.0508447596343242 0.0362815871560753 -0.0247094496686569
 0.0054211534569076 -0.012498237376344 -0.0007099985203591
 -0.0009087705629247 -0.0029875571286929 -0.0005900927346567
 0.14549923557812 -0.039306509083136 -0.0175763663147556
 -0.0074927853127325 -0.0023763476679955 0.0021452111104196
 -0.007902490706375 -0.0005077360976741 -0.0023143810340077 0.0013018108
 11.0]",[0.5392473125005954],RC410_0018
"[-0.0946627724325708 -0.0377895213886053 -0.0392403774578664
 0.0084213136290332 -0.0059117981331858 0.0050689229709057
 -0.0016502242923061 0.0013283759996094 -0.0007720891931891
 0.1630254958582711 -0.0027854953944542 -0.0200828645600936
 0.0004681534661464 -0.0002914660175416 0.003390055345798
 0.0010605085578223 0.0009306127217627 0.0003504826696149
 0.0008616816022023 6.0]",[0.6773200855818792],RC310_0037
"[-0.0500277488756285 0.0385241715689241 0.0323015169345788
 0.0237637898805889 0.0103404127504724 0.00946943988763 0.0031238711172062
 0.0030066883406192 0.0001975937577598 0.1011272951016023
 -0.0470658467216935 -0.0228990159482839 -0.0144901484300118
 -0.0208709910030624 -0.0016850208423428 -0.0058434335641699
 0.000502018411886 -0.0018757687407761 0.0022969067091042 8.0]",[0.5583585291749003],SSCA09_0029
"[-0.0875782713742992 0.022278203599597 0.0368704473590285
 0.0231105123901386 0.0065248145864686 0.0096431157777161
 0.0032897643328973 0.002959815483601 0.0003031911826869
 0.1368852483085387 -0.0525554646874186 -0.0372554291388668
 -0.0205344277392961 -0.0176081086362581 -0.0017124979704579
 -0.0055224500652661 0.0003810020947453 -0.0016977492640607
 0.0006990496814005 20.0]",[0.4967868218296601],SSCA09_0034
"[-0.161008239072425 -0.0486451815481399 -0.0363452940030369
 0.0054310621007338 -0.0049635099727632 0.0043142173682955
 -0.001186896898728 0.001180952140137 -0.000627902839116
 0.1886997664512699 -0.0063046396596693 -0.0110619820503529
 -0.0015717464891204 0.0010906674831939 0.0026320904632014
 0.0015616142365066 0.0007404401031157 0.0005206216225929
 0.0004444019175222 10.0]",[0.5750901841438076],RC310_0030
"[-0.1125546187715264 0.0066790967958683 -0.0230108066040676
 -0.0144068347235392 -0.0103944861663521 -0.0027551777590163
 -0.0044434488393958 -0.0012510683160427 -0.001454297972197
 0.1966826529871488 -0.0148609942510505 -0.0220558097756226
 -0.0291317008671784 -0.0185642789780443 -0.0033717462244614
 -0.0109973063301201 -0.0020379526705712 -0.0039297313483554
 0.001306724504841 3.0]",[0.7060630349749095],VR12_0038
"[-0.0469199750577346 0.1409406367171697 -0.0184466597034479
 0.0117332667814935 0.0016781351626936 0.0055536493436335
 -0.0023987056483727 3.711692580004758e-05 -0.0013810179477322
 0.3109701804292575 0.0289875114192271 -0.0233313120238434
 -0.0028624538275873 -0.0060767695351598 -0.0032129828879902
 -0.001778630596615 -0.0022000197415645 -0.0004871045973768
 9.054568864098238e-05 5.0]",[0.6817552393736723],GS1_0011
"[-0.1240642209646598 0.0150593157797825 -0.0015367335659873
 0.0016989583606371 0.0008312437051278 0.0014879623338536
 0.0004275164672725 0.0005192159288016 8.649122670848198e-05
 0.1240642209646598 -0.0150593157797825 0.0015367335659873
 -0.0016989583606371 -0.0008312437051278 -0.0014879623338536
 -0.0004275164672725 -0.0005192159288016 -8.649122670848198e-05
 0.0011710732 12.0]",[0.5129438375590847],NACA0012_0027
"[-0.090234875131976 0.0394353978567752 0.0098940911189343
 0.0199103048235279 0.006359758716777 0.0053110566114177
 0.0044319531811213 0.0014228658489798 0.0018052057825828
 0.1228586046912857 -0.0352281638003219 -0.0176165351666753
 -0.0142062733413043 -0.0137234499450195 -0.0029805695157584
 -0.007425673834943 -0.0010082558605176 -0.0029991471127263
 0.0010561245936756 15.0]",[0.511540419973437],SC1095_0016
"[-0.1657023215883623 0.0130218220363792 -0.0116749990917335
 0.0176684005379364 -0.0035958185889387 0.0049441307045257
 -0.0027561274287668 0.0013164897406573 -0.001496956547586
 0.1980877034691234 0.0333758927703078 0.036318846344435
 -0.0022458677433785 0.0086613749372244 -0.0012599508220681
 0.0037599842787946 -0.0001023217977969 0.001821071392731 0.0011152928
 20.0]",[0.5101155918883147],RCSC2_0033
"[-0.101173258502077 0.0064490500349498 -0.0152234725900524
 0.015206138341449 -0.0048531678930292 0.0050005340915859
 -0.0028463904818097 0.0012496090006214 -0.0014517410956759
 0.1346226311691085 0.0325497895442951 0.0337614723527635
 -0.0055677646949175 0.0059237320295241 -0.0012424792112551
 0.0036467421794853 -0.0001911385560514 0.0018656735682395 0.0004264247
 8.0]",[0.5170079708947074],RCSC2_0021
"[-0.1130948905910162 0.1072189165027823 -0.0026100591985268
 0.0218211246521836 0.0085367446627233 0.0052062810444292
 -0.0020129093694291 -9.080669482709369e-05 -0.0014139308096078
 0.269085122498254 -0.0182245343158019 -0.0107240852722848
 0.0092341973437403 0.0018465571326602 -0.0028617259332483
 -0.0016187899110607 -0.002185671119772 -0.0006295943870776 0.0001396372
 15.0]",[0.5591076603845769],GS1_0015
