X,y,airfoil name
"[-0.0723674412490163 0.0426882108404086 0.003269097929292
 0.0190577584940917 0.0076137648649523 0.0054865525932232
 0.0043879330237877 0.0014324460942278 0.0017991024437448
 0.1238421712602137 -0.0326748055810044 -0.016825696441701
 -0.0117800154915794 -0.0140842288796674 -0.0027984859836045
 -0.0074883124862764 -0.0009861255450606 -0.0030209733555519
 0.0016542464654472 -3.0]",[0.4268551232359993],SC1095_0037
"[-0.1096231833368685 0.0427069337763168 0.0077699188409436
 0.014403604791807 0.0068900033133973 0.0053331248075762
 0.0045533341786319 0.0013669286092708 0.0018545906009327
 0.1235526565820954 -0.0533028337918412 -0.0182169285620257
 -0.0106373926667412 -0.0125410049261472 -0.002899709574104
 -0.007351539459542 -0.0010327047371923 -0.0029824159016865
 0.0013274439291662 -4.0]",[0.3586922651213101],SC1095_0007
"[-0.1440564729567294 0.0109158249995479 -0.0126023715140378
 0.0150629595585242 -0.0056225694415656 0.0051722621881268
 -0.0027779124710126 0.0012810182517556 -0.0014501885597479
 0.1759780376148323 0.0326645488229222 0.0368245740433181
 -0.0035710867230217 0.0094889142635658 -0.0010512895203461
 0.0037339683272815 -0.0001531092728878 0.0018730030835897 0.0007410646
 -1.0]",[0.4685146479558552],RCSC2_0023
"[-0.2129049988192431 -0.0246960924200525 -0.0068723359880879
 0.0133616596169075 -0.0144676545572893 0.0112073010152209
 -0.0069802584512831 0.0047941131820773 -0.0028296607453693
 0.25257474734045 -0.073837472524542 0.0032519063780113
 -0.0016619447508016 -0.0143899962301462 -0.0021272504878573
 -0.0057670655792869 -0.0016239469817204 -0.0019521186673635
 2.2122958954115188e-05 -3.0]",[0.4656980884374072],V43015_248_0030
"[-0.000443735963962 0.1297015783412998 -0.02605644530417 0.015022625517363
 0.0065962600978805 0.0044616612532459 -0.0017656077236678
 -0.0003830113163194 -0.0008618267143898 0.2852449253040916
 0.0371416586787866 -0.0339802074177225 0.0031663314684187
 -0.003358794938976 -0.0031984632407752 -0.0016687387569459
 -0.0023880697753462 -0.000189458267934 7.21476e-05 -1.0]",[0.4440190558025191],GS1_0037
"[-0.1333461710638691 -0.0388821857295964 -0.0313218646277414
 0.0057729476804599 -0.0054131877546414 0.0046433983894912
 -0.0014301019871443 0.0012761495044772 -0.0007400853101194
 0.1636639541046924 -0.0078078500045839 -0.0147659749513467
 -0.0011872731139213 0.0006167861694375 0.0029613322613676
 0.0012937529289459 0.0008416032951589 0.0004048463416462
 0.000920634285419 -1.0]",[0.4743253774682767],RC310_0004
"[-0.0579264704090281 0.0251662573277842 0.0167693115576091
 0.0235887393153964 0.0105323818670286 0.0094812284378245
 0.0033241105291275 0.0028979562352952 0.0002670039154879
 0.0929231691788318 -0.0687955089624807 -0.0371666134779395
 -0.0151473321459218 -0.015056620112606 -0.0015680861867798
 -0.0057134774328589 0.0004323970008348 -0.0018288869854684
 0.0007893760839098 -4.0]",[0.4183621543989509],SSCA09_0026
"[-0.0731928870986681 0.1099228470671077 -0.0271665890756779
 0.0114325287587166 0.0032796929786167 0.0031038993973813
 -0.0019699277983604 3.4804541019685587e-06 -0.0013305846192154
 0.29898526075422 0.011174521130564 -0.0378270267574002 0.0011378795647288
 -0.0057507527737274 -0.0044522447827247 -0.0020137685073507
 -0.0019733947262906 -0.0006877216698282 3.73062e-05 -3.0]",[0.4150995880994865],GS1_0034
"[-0.0789901939775198 0.0150518165264884 0.018040974726315
 0.0239671171791166 0.0120046278334808 0.0085923564415846
 0.0035476119297183 0.0028694566349311 0.0003321651253877
 0.1360374918271942 -0.0475793679913836 -0.0506037602942784
 -0.0219028806525816 -0.0200694153164387 -0.0024764337771459
 -0.0054675393627883 0.0004389815536421 -0.0017570908363845
 0.0023430535770163 -3.0]",[0.4437119618200021],SSCA09_0024
"[-0.1363178166310885 -0.0024634238013497 -0.0199315922321934
 -0.0030098216297754 -0.01101976773318 -0.0004704738965171
 -0.0126413975564304 -0.0028740623216498 -0.0050880547539695
 0.1695606268433836 -0.0655312896713059 -0.0038743750479447
 -0.0020840700193886 0.0028277079282309 0.0013785755647965
 -0.0040835118338163 -0.0027037707022715 -0.0006057756820327 0.0 -2.0]",[0.4575161386117947],V23010_158_0015
"[-0.1352072142027569 -0.0114514576305933 -0.0322232731311921
 -0.0007308965749446 -0.0170960255022247 -0.0005594986411479
 -0.0133449932326544 -0.002471178218574 -0.0052658352737803
 0.17947651950121 -0.0623037625411296 -0.010311909481826
 -0.0012062339154589 -0.0035908698456594 0.0008490402038024
 -0.0046109616611247 -0.0022397436961779 -0.0009646969042447 0.0 -3.0]",[0.4265014579166276],V23010_158_0031
"[-0.0745716040258983 0.0342400347097201 0.0078137363348485
 0.0167290547633909 0.00728609854264 0.0045325607817565 0.0050431676353514
 0.0010623764625265 0.0021128354998602 0.097468692771644
 -0.0409726640889018 -0.0146483484211918 -0.0165304528441485
 -0.0113136101498976 -0.0036358314063079 -0.0069100933416848
 -0.0013101159876091 -0.002743508191998 0.0013541625 -4.0]",[0.4010118869444069],SC1095_0022
